review_id,product_id,review_text,rating,date
R0054,P0034,Terrible experience overall.,4,2023-09-02
R0055,P0028,Good value for money and works as expected.,5,2023-03-02
R0056,P0034,Terrible experience overall.,5,2024-02-08
R0057,P0013,Excellent quality and delivery!,3,2023-05-26
R0058,P0041,It stopped working after a week.,5,2023-06-16
R0059,P0013,Very poor customer support experience.,5,2023-02-14
R0060,P0019,Exceeded expectations!,2,2024-09-23
R0061,P0005,Not satisfied. Received wrong color.,3,2023-09-27
R0062,P0032,Battery life could be better.,1,2023-07-26
R0063,P0026,Item was defective upon arrival.,4,2024-08-22
R0064,P0043,Battery life could be better.,2,2023-12-30
R0065,P0005,Battery life could be better.,2,2023-12-20
R0066,P0024,Terrible experience overall.,3,2023-07-08
R0067,P0018,Very poor customer support experience.,2,2023-12-29
R0068,P0003,Fast delivery and great performance.,2,2023-07-24
R0069,P0022,Fast delivery and great performance.,4,2024-02-06
R0070,P0023,Battery life could be better.,4,2024-02-04
R0071,P0015,Fast delivery and great performance.,2,2024-08-16
R0072,P0024,Good value for money and works as expected.,3,2024-01-29
R0073,P0042,Excellent quality and delivery!,5,2024-05-22
R0074,P0046,Absolutely loved it! Highly recommend.,4,2024-03-06
R0075,P0005,Battery life could be better.,3,2024-04-25
R0076,P0032,The product was decent but packaging was bad.,5,2023-09-30
R0077,P0046,Exceeded expectations!,3,2023-11-28
R0078,P0021,It stopped working after a week.,4,2024-01-17
R0079,P0020,Amazing! Would buy again.,3,2023-09-07
R0080,P0022,The product was decent but packaging was bad.,5,2023-06-25
R0081,P0040,Very poor customer support experience.,1,2023-06-18
R0082,P0044,Fast delivery and great performance.,1,2023-10-23
R0083,P0038,It stopped working after a week.,2,2023-04-11
R0084,P0043,Good value for money and works as expected.,2,2024-10-20
R0085,P0041,Battery life could be better.,2,2023-04-05
R0086,P0010,Absolutely loved it! Highly recommend.,2,2024-01-23
R0087,P0002,Very poor customer support experience.,3,2024-10-10
R0088,P0025,Not satisfied. Received wrong color.,3,2023-07-16
R0089,P0026,Exceeded expectations!,3,2023-11-03
R0090,P0034,Item was defective upon arrival.,2,2023-04-08
R0091,P0035,Battery life could be better.,4,2023-05-07
R0092,P0002,Very poor customer support experience.,5,2024-04-11
R0093,P0028,Terrible experience overall.,2,2023-01-25
R0094,P0047,Average quality for the price.,3,2024-03-25
R0095,P0013,Amazing! Would buy again.,5,2024-04-06
R0096,P0040,Average quality for the price.,2,2023-05-05
R0097,P0041,Good value for money and works as expected.,5,2023-06-29
R0098,P0046,Item was defective upon arrival.,3,2024-01-19
R0099,P0003,Exceeded expectations!,5,2023-04-04
R0100,P0002,Amazing! Would buy again.,3,2023-11-10
R0101,P0011,Terrible experience overall.,3,2023-06-26
R0102,P0019,Average quality for the price.,3,2024-04-24
R0103,P0033,Good value for money and works as expected.,4,2024-04-02
R0104,P0018,Good value for money and works as expected.,5,2023-09-14
R0105,P0043,Very poor customer support experience.,2,2024-01-15
R0106,P0034,Item was defective upon arrival.,5,2023-11-12
R0107,P0005,Average quality for the price.,2,2023-11-23
R0108,P0003,Very poor customer support experience.,4,2024-04-08
R0109,P0018,Battery life could be better.,4,2023-12-23
R0110,P0003,Exceeded expectations!,2,2024-08-03
R0111,P0005,Exceeded expectations!,4,2023-05-10
R0112,P0034,Item was defective upon arrival.,5,2023-03-20
R0113,P0016,Not satisfied. Received wrong color.,4,2023-03-17
R0114,P0040,Average quality for the price.,1,2024-01-16
R0115,P0037,Very poor customer support experience.,3,2023-01-30
R0116,P0009,The product was decent but packaging was bad.,5,2023-06-29
R0117,P0045,Absolutely loved it! Highly recommend.,1,2023-01-06
R0118,P0011,Not satisfied. Received wrong color.,2,2023-07-20
R0119,P0004,Excellent quality and delivery!,4,2024-08-03
R0120,P0024,Perfect product! Worth every rupee.,4,2024-09-16
R0121,P0037,It stopped working after a week.,2,2023-12-21
R0122,P0035,Good value for money and works as expected.,1,2023-08-27
R0123,P0048,Terrible experience overall.,5,2024-08-05
R0124,P0006,Very poor customer support experience.,3,2023-01-31
R0125,P0050,Exceeded expectations!,1,2024-03-27
R0126,P0017,Amazing! Would buy again.,3,2024-07-18
R0127,P0034,Item was defective upon arrival.,1,2024-01-05
R0128,P0023,Terrible experience overall.,3,2023-08-27
R0129,P0015,Very poor customer support experience.,4,2023-10-27
R0130,P0019,Good value for money and works as expected.,2,2023-01-15
R0131,P0011,It stopped working after a week.,1,2024-03-21
R0132,P0024,Battery life could be better.,2,2023-01-12
R0133,P0033,Average quality for the price.,1,2023-11-29
R0134,P0012,It stopped working after a week.,1,2024-03-01
R0135,P0024,Amazing! Would buy again.,2,2024-02-28
R0136,P0008,Good value for money and works as expected.,3,2023-07-31
R0137,P0044,Average quality for the price.,2,2024-09-08
R0138,P0032,Not satisfied. Received wrong color.,3,2023-12-11
R0139,P0015,Amazing! Would buy again.,1,2024-08-01
R0140,P0014,Terrible experience overall.,1,2023-12-11
R0141,P0023,The product was decent but packaging was bad.,5,2023-03-16
R0142,P0031,Absolutely loved it! Highly recommend.,1,2024-03-23
R0143,P0007,Not satisfied. Received wrong color.,4,2023-02-01
R0144,P0027,Terrible experience overall.,4,2024-01-15
R0145,P0013,Excellent quality and delivery!,1,2024-01-24
R0146,P0026,Very poor customer support experience.,4,2024-03-06
R0147,P0045,Excellent quality and delivery!,1,2024-02-24
R0148,P0008,Battery life could be better.,2,2024-05-17
R0149,P0017,Very poor customer support experience.,5,2023-06-26
R0150,P0021,Terrible experience overall.,1,2024-06-13
R0151,P0043,Battery life could be better.,2,2023-03-09
R0152,P0013,Terrible experience overall.,3,2024-10-05
R0153,P0026,Fast delivery and great performance.,3,2024-02-20
R0154,P0029,Perfect product! Worth every rupee.,4,2023-12-18
R0155,P0008,Excellent quality and delivery!,1,2023-08-23
R0156,P0033,Not satisfied. Received wrong color.,3,2023-12-29
R0157,P0014,Battery life could be better.,5,2024-04-29
R0158,P0036,Average quality for the price.,4,2024-06-22
R0159,P0038,Excellent quality and delivery!,2,2024-01-16
R0160,P0043,Fast delivery and great performance.,3,2024-02-21
R0161,P0044,Excellent quality and delivery!,4,2023-05-21
R0162,P0004,It stopped working after a week.,2,2024-09-15
R0163,P0011,Battery life could be better.,4,2024-04-21
R0164,P0025,The product was decent but packaging was bad.,5,2023-02-24
R0165,P0035,The product was decent but packaging was bad.,1,2023-09-08
R0166,P0034,Amazing! Would buy again.,3,2023-01-25
R0167,P0009,Good value for money and works as expected.,2,2024-01-08
R0168,P0001,Good value for money and works as expected.,1,2024-09-29
R0169,P0015,Absolutely loved it! Highly recommend.,3,2024-04-02
R0170,P0032,Good value for money and works as expected.,5,2024-07-18
R0171,P0003,Terrible experience overall.,5,2024-09-21
R0172,P0019,Absolutely loved it! Highly recommend.,3,2023-12-25
R0173,P0045,Item was defective upon arrival.,4,2024-09-19
R0174,P0005,It stopped working after a week.,1,2023-03-06
R0175,P0033,Good value for money and works as expected.,5,2024-05-07
R0176,P0039,Very poor customer support experience.,2,2023-07-23
R0177,P0005,Very poor customer support experience.,3,2024-09-18
R0178,P0020,Battery life could be better.,4,2023-12-26
R0179,P0035,Exceeded expectations!,4,2024-02-17
R0180,P0040,Terrible experience overall.,3,2024-06-14
R0181,P0007,Item was defective upon arrival.,5,2023-02-28
R0182,P0030,Fast delivery and great performance.,3,2023-12-12
R0183,P0032,Good value for money and works as expected.,4,2023-11-05
R0184,P0036,The product was decent but packaging was bad.,4,2024-01-22
R0185,P0001,The product was decent but packaging was bad.,1,2024-02-01
R0186,P0008,It stopped working after a week.,3,2023-12-29
R0187,P0016,Not satisfied. Received wrong color.,5,2023-08-24
R0188,P0015,Average quality for the price.,3,2023-05-16
R0189,P0035,Very poor customer support experience.,1,2023-07-05
R0190,P0037,The product was decent but packaging was bad.,2,2023-09-16
R0191,P0041,Good value for money and works as expected.,3,2024-07-07
R0192,P0003,Exceeded expectations!,4,2023-01-31
R0193,P0024,Excellent quality and delivery!,3,2024-03-17
R0194,P0046,Item was defective upon arrival.,5,2023-10-14
R0195,P0031,The product was decent but packaging was bad.,1,2023-05-23
R0196,P0048,Fast delivery and great performance.,2,2023-06-25
R0197,P0046,Item was defective upon arrival.,1,2024-10-05
R0198,P0049,Absolutely loved it! Highly recommend.,3,2023-10-03
R0199,P0005,Exceeded expectations!,2,2023-01-04
R0200,P0028,Fast delivery and great performance.,5,2023-01-04
R0201,P0021,It stopped working after a week.,4,2024-01-31
R0202,P0026,Not satisfied. Received wrong color.,5,2023-04-14
R0203,P0014,Absolutely loved it! Highly recommend.,3,2023-04-14
R0204,P0012,Absolutely loved it! Highly recommend.,5,2023-05-16
R0205,P0037,Item was defective upon arrival.,4,2023-08-20
R0206,P0030,Good value for money and works as expected.,4,2024-04-29
R0207,P0012,Very poor customer support experience.,1,2023-11-08
R0208,P0015,Terrible experience overall.,2,2024-02-06
R0209,P0013,Amazing! Would buy again.,3,2023-06-09
R0210,P0043,Perfect product! Worth every rupee.,1,2024-07-29
R0211,P0010,Good value for money and works as expected.,2,2023-02-12
R0212,P0031,Fast delivery and great performance.,5,2024-01-25
R0213,P0039,Average quality for the price.,3,2023-04-15
R0214,P0042,Absolutely loved it! Highly recommend.,1,2024-10-14
R0215,P0021,Battery life could be better.,2,2023-07-13
R0216,P0013,Exceeded expectations!,3,2024-02-07
R0217,P0011,It stopped working after a week.,4,2023-05-30
R0218,P0037,Excellent quality and delivery!,2,2024-06-28
R0219,P0038,Exceeded expectations!,2,2023-07-01
R0220,P0036,Perfect product! Worth every rupee.,2,2024-01-02
R0221,P0020,Absolutely loved it! Highly recommend.,4,2024-11-01
R0222,P0047,Perfect product! Worth every rupee.,1,2023-07-09
R0223,P0038,Very poor customer support experience.,2,2024-03-25
R0224,P0049,Not satisfied. Received wrong color.,2,2023-06-26
R0225,P0050,Amazing! Would buy again.,5,2024-04-07
R0226,P0005,It stopped working after a week.,2,2023-03-30
R0227,P0020,Not satisfied. Received wrong color.,5,2023-03-19
R0228,P0036,Fast delivery and great performance.,5,2023-09-07
R0229,P0011,Amazing! Would buy again.,5,2024-04-17
R0230,P0022,Absolutely loved it! Highly recommend.,2,2024-05-03
R0231,P0048,Battery life could be better.,4,2024-03-14
R0232,P0001,Average quality for the price.,5,2023-02-04
R0233,P0034,The product was decent but packaging was bad.,3,2024-07-24
R0234,P0015,Amazing! Would buy again.,3,2023-01-19
R0235,P0031,Excellent quality and delivery!,3,2024-02-14
R0236,P0044,Perfect product! Worth every rupee.,3,2023-06-09
R0237,P0047,Excellent quality and delivery!,3,2023-08-28
R0238,P0010,Perfect product! Worth every rupee.,1,2024-09-02
R0239,P0014,Good value for money and works as expected.,2,2023-06-13
R0240,P0005,Battery life could be better.,2,2024-09-25
R0241,P0015,Excellent quality and delivery!,5,2024-05-25
R0242,P0008,Not satisfied. Received wrong color.,1,2024-05-15
R0243,P0046,Battery life could be better.,5,2024-07-10
R0244,P0045,Fast delivery and great performance.,5,2023-07-20
R0245,P0040,Not satisfied. Received wrong color.,2,2023-04-13
R0246,P0018,The product was decent but packaging was bad.,3,2024-10-06
R0247,P0015,Item was defective upon arrival.,4,2024-07-11
R0248,P0045,Perfect product! Worth every rupee.,4,2024-02-01
R0249,P0034,It stopped working after a week.,2,2023-09-01
R0250,P0019,Very poor customer support experience.,4,2023-07-26
R0251,P0006,Average quality for the price.,1,2023-01-21
R0252,P0020,Fast delivery and great performance.,1,2024-02-10
R0253,P0013,Perfect product! Worth every rupee.,4,2024-02-18
R0254,P0011,Item was defective upon arrival.,4,2024-04-07
R0255,P0002,Excellent quality and delivery!,5,2023-01-25
R0256,P0029,Item was defective upon arrival.,3,2023-05-25
R0257,P0033,Not satisfied. Received wrong color.,2,2024-05-27
R0258,P0003,Average quality for the price.,4,2023-11-21
R0259,P0012,Terrible experience overall.,3,2024-07-09
R0260,P0010,Good value for money and works as expected.,2,2023-05-03
R0261,P0014,Fast delivery and great performance.,2,2024-09-19
R0262,P0047,It stopped working after a week.,2,2024-06-28
R0263,P0050,The product was decent but packaging was bad.,5,2024-01-21
R0264,P0018,Not satisfied. Received wrong color.,3,2024-10-22
R0265,P0018,Excellent quality and delivery!,1,2024-03-19
R0266,P0036,Battery life could be better.,3,2023-07-28
R0267,P0028,Fast delivery and great performance.,3,2024-03-27
R0268,P0046,It stopped working after a week.,1,2024-05-28
R0269,P0004,Good value for money and works as expected.,4,2023-02-26
R0270,P0044,Excellent quality and delivery!,5,2023-04-06
R0271,P0017,Absolutely loved it! Highly recommend.,5,2024-05-26
R0272,P0035,Terrible experience overall.,5,2024-09-29
R0273,P0027,Not satisfied. Received wrong color.,1,2023-12-16
R0274,P0028,Terrible experience overall.,1,2023-03-31
R0275,P0020,Very poor customer support experience.,4,2024-02-27
R0276,P0041,Perfect product! Worth every rupee.,1,2024-04-29
R0277,P0044,Terrible experience overall.,4,2023-05-10
R0278,P0010,Good value for money and works as expected.,5,2023-06-20
R0279,P0015,Terrible experience overall.,1,2023-10-10
R0280,P0046,The product was decent but packaging was bad.,2,2023-10-05
R0281,P0005,Very poor customer support experience.,3,2023-07-14
R0282,P0015,Amazing! Would buy again.,5,2023-04-03
R0283,P0040,Amazing! Would buy again.,5,2024-04-20
R0284,P0027,Amazing! Would buy again.,4,2024-10-09
R0285,P0048,Average quality for the price.,3,2023-05-07
R0286,P0014,Perfect product! Worth every rupee.,2,2023-09-02
R0287,P0027,Item was defective upon arrival.,1,2023-10-22
R0288,P0049,Average quality for the price.,4,2024-05-10
R0289,P0017,Fast delivery and great performance.,3,2024-02-13
R0290,P0024,Fast delivery and great performance.,3,2024-10-05
R0291,P0013,Excellent quality and delivery!,1,2023-06-10
R0292,P0007,Item was defective upon arrival.,2,2023-06-30
R0293,P0024,Fast delivery and great performance.,2,2024-03-28
R0294,P0013,Exceeded expectations!,5,2024-09-15
R0295,P0014,Amazing! Would buy again.,4,2023-05-31
R0296,P0044,Excellent quality and delivery!,2,2023-06-03
R0297,P0026,Very poor customer support experience.,2,2024-08-17
R0298,P0045,Exceeded expectations!,5,2023-09-13
R0299,P0018,Fast delivery and great performance.,3,2023-10-21
R0300,P0038,Excellent quality and delivery!,2,2024-03-01
R0301,P0037,Fast delivery and great performance.,4,2024-03-27
R0302,P0032,Item was defective upon arrival.,4,2023-08-23
R0303,P0003,Fast delivery and great performance.,1,2024-02-05
R0304,P0006,It stopped working after a week.,4,2023-09-27
R0305,P0036,Terrible experience overall.,2,2024-06-11
R0306,P0021,Excellent quality and delivery!,3,2023-12-13
R0307,P0020,Absolutely loved it! Highly recommend.,5,2023-09-10
R0308,P0049,Amazing! Would buy again.,3,2023-02-27
R0309,P0033,Fast delivery and great performance.,1,2024-09-23
R0310,P0001,Exceeded expectations!,1,2024-09-01
R0311,P0031,Average quality for the price.,4,2023-12-06
R0312,P0022,Absolutely loved it! Highly recommend.,3,2023-10-30
R0313,P0014,Terrible experience overall.,1,2023-10-28
R0314,P0017,Average quality for the price.,3,2024-09-20
R0315,P0004,Excellent quality and delivery!,3,2023-02-18
R0316,P0007,Perfect product! Worth every rupee.,2,2023-10-05
R0317,P0022,The product was decent but packaging was bad.,3,2023-12-29
R0318,P0012,Terrible experience overall.,2,2024-10-24
R0319,P0015,Amazing! Would buy again.,5,2023-07-09
R0320,P0036,It stopped working after a week.,3,2024-02-29
R0321,P0050,It stopped working after a week.,5,2023-10-27
R0322,P0009,Perfect product! Worth every rupee.,3,2023-09-29
R0323,P0026,Fast delivery and great performance.,5,2023-11-16
R0324,P0003,Average quality for the price.,3,2024-01-26
R0325,P0036,Battery life could be better.,3,2023-12-21
R0326,P0038,Average quality for the price.,3,2023-11-11
R0327,P0037,Item was defective upon arrival.,1,2024-02-24
R0328,P0020,The product was decent but packaging was bad.,5,2023-12-09
R0329,P0012,Excellent quality and delivery!,2,2024-03-27
R0330,P0030,Item was defective upon arrival.,4,2023-10-31
R0331,P0019,Excellent quality and delivery!,2,2024-08-03
R0332,P0038,Battery life could be better.,4,2024-06-23
R0333,P0014,Item was defective upon arrival.,3,2024-03-07
R0334,P0024,Terrible experience overall.,2,2023-06-15
R0335,P0046,Terrible experience overall.,4,2024-04-21
R0336,P0009,Item was defective upon arrival.,1,2024-08-15
R0337,P0013,Very poor customer support experience.,4,2023-11-05
R0338,P0022,Amazing! Would buy again.,5,2024-08-07
R0339,P0030,Not satisfied. Received wrong color.,5,2023-01-05
R0340,P0050,The product was decent but packaging was bad.,5,2024-10-17
R0341,P0017,Exceeded expectations!,2,2023-03-17
R0342,P0042,Exceeded expectations!,2,2024-08-07
R0343,P0010,Exceeded expectations!,1,2024-08-15
R0344,P0012,Excellent quality and delivery!,3,2024-01-24
R0345,P0030,Battery life could be better.,5,2024-05-14
R0346,P0036,Battery life could be better.,4,2024-07-25
R0347,P0039,Exceeded expectations!,1,2023-06-06
R0348,P0044,The product was decent but packaging was bad.,2,2023-01-05
R0349,P0040,Excellent quality and delivery!,5,2023-04-23
R0350,P0034,Absolutely loved it! Highly recommend.,1,2023-09-20
R0351,P0032,Perfect product! Worth every rupee.,5,2023-05-24
R0352,P0003,Excellent quality and delivery!,3,2024-01-24
R0353,P0034,Perfect product! Worth every rupee.,2,2024-06-23
R0354,P0008,Exceeded expectations!,1,2023-02-21
R0355,P0001,Perfect product! Worth every rupee.,2,2024-05-03
R0356,P0002,Good value for money and works as expected.,2,2024-08-01
R0357,P0008,Exceeded expectations!,3,2023-01-12
R0358,P0047,Terrible experience overall.,2,2023-09-19
R0359,P0035,Fast delivery and great performance.,4,2023-11-08
R0360,P0029,Absolutely loved it! Highly recommend.,4,2023-06-29
R0361,P0040,Terrible experience overall.,5,2023-05-09
R0362,P0050,Amazing! Would buy again.,4,2023-08-31
R0363,P0028,Item was defective upon arrival.,1,2023-07-08
R0364,P0050,It stopped working after a week.,2,2024-09-14
R0365,P0042,Battery life could be better.,4,2024-02-11
R0366,P0050,Exceeded expectations!,4,2024-03-05
R0367,P0048,It stopped working after a week.,1,2023-04-29
R0368,P0013,It stopped working after a week.,5,2023-09-19
R0369,P0023,Item was defective upon arrival.,3,2024-07-02
R0370,P0039,Average quality for the price.,4,2024-05-12
R0371,P0010,Exceeded expectations!,4,2023-04-11
R0372,P0033,Amazing! Would buy again.,5,2024-11-01
R0373,P0007,The product was decent but packaging was bad.,5,2023-02-10
R0374,P0045,Absolutely loved it! Highly recommend.,2,2024-10-28
R0375,P0045,Very poor customer support experience.,2,2024-07-26
R0376,P0021,Amazing! Would buy again.,3,2024-03-09
R0377,P0038,Absolutely loved it! Highly recommend.,4,2023-10-01
R0378,P0043,Amazing! Would buy again.,5,2023-08-07
R0379,P0003,The product was decent but packaging was bad.,3,2023-01-27
R0380,P0012,Exceeded expectations!,2,2024-09-29
R0381,P0017,Exceeded expectations!,2,2024-02-11
R0382,P0027,Item was defective upon arrival.,4,2023-03-24
R0383,P0041,It stopped working after a week.,1,2023-09-01
R0384,P0006,Battery life could be better.,5,2023-03-05
R0385,P0044,The product was decent but packaging was bad.,4,2023-03-18
R0386,P0011,Terrible experience overall.,1,2023-11-17
R0387,P0003,Perfect product! Worth every rupee.,1,2024-06-27
R0388,P0030,Item was defective upon arrival.,5,2024-01-29
R0389,P0030,Very poor customer support experience.,5,2023-10-02
R0390,P0046,Good value for money and works as expected.,3,2024-05-23
R0391,P0021,Exceeded expectations!,1,2024-05-05
R0392,P0002,Absolutely loved it! Highly recommend.,1,2024-01-23
R0393,P0041,Exceeded expectations!,2,2023-02-02
R0394,P0032,Absolutely loved it! Highly recommend.,2,2023-02-14
R0395,P0038,Item was defective upon arrival.,1,2024-10-29
R0396,P0008,Not satisfied. Received wrong color.,1,2024-03-23
R0397,P0026,Absolutely loved it! Highly recommend.,3,2023-01-07
R0398,P0049,Amazing! Would buy again.,2,2024-08-14
R0399,P0009,It stopped working after a week.,1,2023-08-07
R0400,P0030,Average quality for the price.,1,2024-01-16
R0401,P0016,Fast delivery and great performance.,5,2023-10-15
R0402,P0009,Very poor customer support experience.,2,2024-04-10
R0403,P0045,The product was decent but packaging was bad.,3,2023-05-01
R0404,P0037,Not satisfied. Received wrong color.,3,2024-01-29
R0405,P0036,Terrible experience overall.,5,2023-02-03
R0406,P0039,Excellent quality and delivery!,2,2023-07-31
R0407,P0050,Exceeded expectations!,3,2023-12-02
R0408,P0031,Perfect product! Worth every rupee.,3,2023-01-17
R0409,P0001,Excellent quality and delivery!,4,2024-03-03
R0410,P0015,Good value for money and works as expected.,2,2024-03-24
R0411,P0001,Terrible experience overall.,3,2024-05-08
R0412,P0034,Amazing! Would buy again.,3,2023-10-14
R0413,P0015,Fast delivery and great performance.,5,2023-08-27
R0414,P0029,Battery life could be better.,2,2024-02-29
R0415,P0027,Absolutely loved it! Highly recommend.,4,2024-04-10
R0416,P0038,It stopped working after a week.,3,2024-07-28
R0417,P0026,Item was defective upon arrival.,4,2023-11-25
R0418,P0029,The product was decent but packaging was bad.,3,2023-04-12
R0419,P0038,Absolutely loved it! Highly recommend.,1,2024-08-03
R0420,P0016,Exceeded expectations!,2,2024-01-30
R0421,P0016,The product was decent but packaging was bad.,5,2023-04-09
R0422,P0002,Average quality for the price.,3,2023-05-04
R0423,P0026,Battery life could be better.,5,2023-04-11
R0424,P0020,Very poor customer support experience.,1,2023-05-31
R0425,P0009,Fast delivery and great performance.,3,2023-06-20
R0426,P0007,Battery life could be better.,3,2024-05-07
R0427,P0048,It stopped working after a week.,4,2023-04-25
R0428,P0027,Battery life could be better.,2,2024-08-28
R0429,P0041,Not satisfied. Received wrong color.,4,2024-02-13
R0430,P0012,It stopped working after a week.,1,2023-02-23
R0431,P0034,Fast delivery and great performance.,2,2023-07-22
R0432,P0023,Exceeded expectations!,4,2023-03-09
R0433,P0005,Terrible experience overall.,3,2023-07-13
R0434,P0030,Battery life could be better.,1,2023-10-30
R0435,P0033,Exceeded expectations!,2,2024-04-26
R0436,P0042,It stopped working after a week.,5,2024-05-08
R0437,P0031,Fast delivery and great performance.,4,2024-01-08
R0438,P0016,Perfect product! Worth every rupee.,3,2023-02-23
R0439,P0008,Perfect product! Worth every rupee.,4,2023-05-01
R0440,P0035,Excellent quality and delivery!,1,2023-02-04
R0441,P0017,It stopped working after a week.,1,2024-10-29
R0442,P0035,Absolutely loved it! Highly recommend.,3,2024-05-28
R0443,P0016,Average quality for the price.,5,2024-08-07
R0444,P0024,Absolutely loved it! Highly recommend.,1,2024-08-10
R0445,P0020,Amazing! Would buy again.,2,2023-06-27
R0446,P0035,Absolutely loved it! Highly recommend.,2,2023-09-07
R0447,P0019,Not satisfied. Received wrong color.,1,2024-06-05
R0448,P0050,Exceeded expectations!,2,2024-02-29
R0449,P0029,Amazing! Would buy again.,4,2023-09-03
R0450,P0033,The product was decent but packaging was bad.,4,2023-09-07
R0451,P0011,Very poor customer support experience.,3,2024-09-29
R0452,P0003,Item was defective upon arrival.,1,2024-03-24
R0453,P0030,It stopped working after a week.,4,2023-01-04
R0454,P0036,Battery life could be better.,2,2023-02-23
R0455,P0006,Fast delivery and great performance.,4,2024-06-26
R0456,P0020,Exceeded expectations!,2,2024-02-18
R0457,P0026,It stopped working after a week.,3,2024-04-30
R0458,P0007,Absolutely loved it! Highly recommend.,2,2023-10-02
R0459,P0018,Fast delivery and great performance.,2,2023-01-13
R0460,P0037,Average quality for the price.,5,2023-06-01
R0461,P0049,Perfect product! Worth every rupee.,4,2023-03-19
R0462,P0022,Absolutely loved it! Highly recommend.,4,2024-08-16
R0463,P0048,Fast delivery and great performance.,5,2023-12-15
R0464,P0013,Absolutely loved it! Highly recommend.,2,2023-02-18
R0465,P0012,Fast delivery and great performance.,1,2023-02-04
R0466,P0026,Average quality for the price.,3,2024-08-27
R0467,P0034,Absolutely loved it! Highly recommend.,5,2023-01-06
R0468,P0037,Excellent quality and delivery!,3,2023-06-07
R0469,P0014,Not satisfied. Received wrong color.,1,2023-02-01
R0470,P0022,Battery life could be better.,2,2024-10-09
R0471,P0041,Very poor customer support experience.,4,2024-02-02
R0472,P0048,Not satisfied. Received wrong color.,1,2023-03-30
R0473,P0010,Amazing! Would buy again.,4,2023-02-09
R0474,P0017,Good value for money and works as expected.,3,2024-02-28
R0475,P0037,Excellent quality and delivery!,2,2024-02-08
R0476,P0040,Terrible experience overall.,5,2023-09-05
R0477,P0041,Not satisfied. Received wrong color.,5,2024-09-15
R0478,P0028,The product was decent but packaging was bad.,1,2023-12-26
R0479,P0029,Exceeded expectations!,3,2023-07-06
R0480,P0030,Item was defective upon arrival.,1,2024-05-05
R0481,P0001,The product was decent but packaging was bad.,5,2024-04-18
R0482,P0016,Item was defective upon arrival.,2,2024-02-11
